candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
11,TC-011,验证周末课程推荐内容一致性：周六和周日展示的课程包内容相同。,周末学习与测评,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,周末学习与测评|happy,[],False,True,True,True,retained_default,14,0,"[""RULE-027"", ""RULE-028"", ""RULE-047""]",[],[],20,周末学习与测评|验证周末课程推荐内容一致性：周六和周日展示的课程包内容相同。|1. 周六和周日展示的课程包名称、包含的知识点视频、测评组（abc组）等内容完全一致。|查看周六、周日的课程推荐
12,TC-012,验证周末在线学习断点续播功能：退出后重新进入，视频从上次中断处继续播放，且进度同步到首页。,周末学习与测评,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,周末学习与测评|happy,[],False,False,False,False,,0,0,"[""RULE-004"", ""RULE-028""]",[],[],0,周末学习与测评|验证周末在线学习断点续播功能：退出后重新进入，视频从上次中断处继续播放，且进度同步到首页。|1. 重新进入后，课程推荐页或首页该课程的进度标识已更新（如显示‘已学50%’）。2. 再次点击播放视频时，播放器应从上次中断的时间点（约50%）附近开始继续播放，而非从头开始。|中断视频学习
13,TC-013,验证随堂测评（拍照判题）全流程：打印题目、手写答案、拍照上传、OCR识别、AI判分、错题归档。,周末学习与测评,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,周末学习与测评|exception,[],False,True,True,True,retained_default,8,2,"[""RULE-028"", ""RULE-030"", ""RULE-045""]",[],[],-8,周末学习与测评|验证随堂测评（拍照判题）全流程：打印题目、手写答案、拍照上传、ocr识别、ai判分、错题归档。|1. 系统成功接收照片并进行处理。2. 显示ocr识别出的文本（可预览修改）。3. 显示ai判分结果（对/错）。4. 判为错误的题目，被归集到‘定位学-数学’错题本中。5. 整个流程在数学科目下完成，其他科目不展示此功能。|上传手写答案照片
14,TC-014,验证学习报告页的生成与覆盖更新：完成周末学习后生成报告，补做后新报告全量覆盖旧报告。,学习报告页,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习报告页|happy,[],False,True,True,True,retained_default,20,0,"[""RULE-028"", ""RULE-032""]",[],[],-8,学习报告页|验证学习报告页的生成与覆盖更新：完成周末学习后生成报告，补做后新报告全量覆盖旧报告。|1. 初始报告基于第一次学习数据生成。2. 补做后，学习报告页的内容被全量更新，反映最新的学习与测评数据（包括新做的题），旧报告数据被覆盖。报告生成时间应更新。|补做学习内容
15,TC-015,验证学习报告页‘重新学习’按钮的权限控制：仅在当前周或上周补做期内显示并可用，在其他时间不可用或隐藏。,学习报告页,P2,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习报告页|risk,[],False,False,True,True,retained_due_to_coverage_value,28,0,"[""RULE-032"", ""RULE-049""]",[],[],-8,学习报告页|验证学习报告页‘重新学习’按钮的权限控制：仅在当前周或上周补做期内显示并可用，在其他时间不可用或隐藏。|1. 在当前周的报告页，显示‘重新学习’按钮且可点击。2. 在上周（补做期内）的报告页，显示‘重新学习’按钮且可点击。3. 在更早周的报告页，‘重新学习’按钮置灰、隐藏或点击无效。|在不同教学周查看报告
16,TC-016,验证学习报告页‘返回首页’操作：点击后，系统将当前周的周末任务标记为‘已完成’，并跳转回首页。,学习报告页,P1,False,True,False,True,True,retained,retained,,,,{},False,False,False,False,,学习报告页|state,[],False,False,True,True,retained_default,21,1,"[""RULE-016"", ""RULE-032"", ""RULE-049""]",[],[],20,学习报告页|验证学习报告页‘返回首页’操作：点击后，系统将当前周的周末任务标记为‘已完成’，并跳转回首页。|1. 页面成功跳转至系统首页。2. 首页上，当前周的周末任务卡片或标识状态变为‘已完成’。|点击‘返回首页’
17,TC-017,验证督导端‘申请拍照判题’功能：督导点击后，触发学生端的拍照判题流程或通知。,督导端,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,督导端|state,[],False,True,True,True,retained_default,12,1,"[""RULE-042"", ""RULE-049""]",[],[],-8,督导端|验证督导端‘申请拍照判题’功能：督导点击后，触发学生端的拍照判题流程或通知。|1. 督导端操作成功，可能有成功提示。2. 学生端收到拍照判题的通知或任务，可进入拍照流程。此操作仅为流程触发，不改变最终的学情数据状态。|督导点击申请拍照判题
18,TC-018,验证督导端‘完成判卷’按钮的标记作用：点击后，单题错题入错题本，但不触发错题推荐更新。,督导端,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,督导端|happy,[],False,True,True,True,retained_default,17,0,"[""RULE-027"", ""RULE-042"", ""RULE-045"", ""RULE-049""]",[],[],20,督导端|验证督导端‘完成判卷’按钮的标记作用：点击后，单题错题入错题本，但不触发错题推荐更新。|1. 该题目被添加到学生的错题本中。2. 学生的薄弱点列表、周末课程推荐等基于错题的ai推荐内容未因这次操作而立即更新或重新生成。该按钮仅完成归档流程。|督导点击‘完成判卷’
19,TC-019,验证数据主键唯一性：同一用户、同一教材/年级、同一教学周下的数据独立且互不干扰。,数据与状态规则,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,数据与状态规则|happy,[],False,True,True,True,retained_default,16,0,"[""RULE-005"", ""RULE-007"", ""RULE-011""]",[],[],20,数据与状态规则|验证数据主键唯一性：同一用户、同一教材/年级、同一教学周下的数据独立且互不干扰。|1. 教材a下的第10周数据（进度、错题）独立存在。2. 教材b下的第10周数据（进度、错题）独立存在，与教材a的数据不同。3. 切换回教材a后，显示的数据与步骤1中一致，未被教材b的数据覆盖。|切换教材查看同一教学周
20,TC-020,验证网络异常处理：在关键操作（如提交答案、上传照片）时断网，应有友好提示，且已加载的数据不丢失。,异常与边界,P2,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,异常与边界|exception,[],False,True,True,True,retained_default,6,3,"[""RULE-058""]",[],[],-16,异常与边界|验证网络异常处理：在关键操作（如提交答案、上传照片）时断网，应有友好提示，且已加载的数据不丢失。|1. 操作后弹出网络异常提示（如‘网络连接失败，请检查后重试’）。2. 页面已填写的答案或已拍摄的照片（如果已缓存）未丢失。3. 恢复网络后，可手动重试提交，成功提交后流程继续。|断网状态下提交
21,TC-021,验证无数据时的兜底展示：当无薄弱点、无错题、无学习数据时，相应页面展示友好文案，按钮置灰。,异常与边界,P2,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,异常与边界|happy,[],False,True,True,True,retained_default,18,0,"[""RULE-007"", ""RULE-011"", ""RULE-032"", ""RULE-049"", ""RULE-058"", ""RULE-060""]",[],[],20,异常与边界|验证无数据时的兜底展示：当无薄弱点、无错题、无学习数据时，相应页面展示友好文案，按钮置灰。|1. 薄弱点列表页面显示‘暂无薄弱点’等兜底文案，相关推荐按钮可能置灰。2. 错题本页面显示‘错题本空空如也’等文案。3. 学习报告页可能显示‘暂无学习数据’或提示开始学习。|新用户查看数据页面
22,TC-022,验证拍照判题上传图片数量边界：学习报告页答题照片区最多显示20张。,学习报告页,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,学习报告页|boundary,[],False,False,True,False,,0,2,"[""RULE-032""]",[],[],-16,学习报告页|验证拍照判题上传图片数量边界：学习报告页答题照片区最多显示20张。|1. 答题照片区仅显示最近或最重要的20张照片。2. 可能有‘查看更多’的入口或提示‘已显示20/xx张’。|上传超过20张答题照片
23,TC-023,验证跨模块跳转至错题本：从学习报告、题目解析页等位置点击跳转至错题本，应定位到对应的错题。,错题本与去重,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,错题本与去重|happy,[],False,False,False,False,,0,0,"[""RULE-032"", ""RULE-039""]",[],[],-8,错题本与去重|验证跨模块跳转至错题本：从学习报告、题目解析页等位置点击跳转至错题本，应定位到对应的错题。|1. 页面成功跳转到错题本模块。2. 错题本页面自动定位并高亮显示与跳转来源相关的那道错题（或错题列表）。|点击跳转至错题本的链接
24,TC-024,验证学习报表模板切换功能：在督导端或报告页，可在‘标准化章名’与‘定位学’模板之间切换，显示不同的模块和指标。,新增数据模板（学习报表）,P2,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,新增数据模板（学习报表）|state,[],False,True,True,True,retained_default,11,1,"[""RULE-042"", ""RULE-050"", ""RULE-052""]",[],[],20,新增数据模板（学习报表）|验证学习报表模板切换功能：在督导端或报告页，可在‘标准化章名’与‘定位学’模板之间切换，显示不同的模块和指标。|1. 切换模板后，报表的课程名称、模块分类（如标准化复习/学&练 vs 定位学知识点视频/abc组测评）、完成状态判断依据（学习机对勾 vs 知识点学完并答题）等随之改变，以匹配所选模板的格式。|切换报表模板
25,TC-025,验证‘周一习题本’对下游数据的影响：习题本中的答题数据应被统计入本周的‘完成题数’和‘正确率’，并累加至周度统计中。,周一习题本下游,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,周一习题本下游|exception,[],False,False,True,False,,0,2,"[""RULE-036""]",[],[],-8,周一习题本下游|验证‘周一习题本’对下游数据的影响：习题本中的答题数据应被统计入本周的‘完成题数’和‘正确率’，并累加至周度统计中。|1. 周一习题本中答题的题数累加到‘本周完成题数’中。2. 答题的正确/错误结果参与计算‘本周正确率’。3. 这些数据作为本周学习数据池的一部分，可用于知识点掌握度分析。|完成周一习题本答题
26,TC-026,验证督导端智能课堂界面显示：正确展示‘小学数学定位学 第N周 周六/周日’标题与‘周中刷题’切片，并显示‘申请拍照判题’按钮。,督导端智能课堂,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,督导端智能课堂|happy,[],False,False,False,False,,0,0,"[""RULE-042"", ""RULE-046"", ""RULE-047"", ""RULE-048"", ""RULE-049""]",[],[],-16,督导端智能课堂|验证督导端智能课堂界面显示：正确展示‘小学数学定位学 第n周 周六/周日’标题与‘周中刷题’切片，并显示‘申请拍照判题’按钮。|1. 页面标题格式为‘小学数学定位学 第x周 周六’或‘小学数学定位学 第x周 周日’。2. 页面显示‘周中刷题’相关切片内容。3. 页面显示‘申请拍照判题’按钮。|无
27,TC-027,验证学习报表模板切换功能：在督导端或报告页切换‘标准化章名’与‘定位学’模板，模块/学习量、是否完成等指标展示正确。,学习报表,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:duplicate,duplicate,duplicate,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,学习报表|happy,[],False,False,False,False,,0,0,"[""RULE-032"", ""RULE-042"", ""RULE-050"", ""RULE-052""]",[],[],20,学习报表|验证学习报表模板切换功能：在督导端或报告页切换‘标准化章名’与‘定位学’模板，模块/学习量、是否完成等指标展示正确。|1. ‘标准化章名’模板下，课程名称显示标准化章名，模块显示‘标准化复习/学&练/随堂练/讲错题/日清’等，是否完成按学习机对勾判断。2. ‘定位学’模板下，课程名称显示定位学相关名称，模块显示‘定位学知识点视频/abc组测评’等，是否完成按知识点全部学完与测评答案填写判断。|模板切换操作
28,TC-028,验证周一习题本覆盖重学后的更新逻辑：在周一完成当日任务生成习题本后，针对错题进行重新学习，验证习题本状态及内容是否更新。,周一习题本,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,周一习题本|state,[],False,False,False,False,,0,1,"[""RULE-023""]",[],[],-8,周一习题本|验证周一习题本覆盖重学后的更新逻辑：在周一完成当日任务生成习题本后，针对错题进行重新学习，验证习题本状态及内容是否更新。|1. 重新学习后，周一习题本的内容应更新（例如，该错题可能被移除或标记为已掌握）。2. 习题本的‘无/全对/有错题’三态应根据最新的答题结果重新计算并更新。|重新学习操作
29,TC-029,验证错题本去重规则：同一道错题在不同时间（如周中与周末随堂测评）被多次收录，在错题本中应正确去重合并。,错题本,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,错题本|happy,[],False,True,False,False,retained_default,1,0,[],[],[],0,错题本|验证错题本去重规则：同一道错题在不同时间（如周中与周末随堂测评）被多次收录，在错题本中应正确去重合并。|错题本中对于错题a应只有一条记录，但可能关联了多个来源（如周中、周末）。错题数等统计信息应基于去重后的逻辑进行累计。|多次产生相同错题
30,TC-030,验证网络异常-拍照上传中断：在随堂测评拍照上传过程中模拟网络中断，验证提示与重试机制，且已手写答案不丢失。,周末学习与测评,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,周末学习与测评|exception,[],False,False,True,False,,0,2,"[""RULE-028""]",[],[],-8,周末学习与测评|验证网络异常-拍照上传中断：在随堂测评拍照上传过程中模拟网络中断，验证提示与重试机制，且已手写答案不丢失。|1. 网络中断时，应有明确提示（如‘上传失败，请检查网络’）。2. 恢复网络后，页面应允许重新拍照或重新上传，之前手写的答案内容应被保留（如果是在本地）。3. 系统不应因单次上传失败而丢失整个测评进度。|网络中断
31,TC-031,验证补做期内‘重新学习’后报告更新：在当前周或上周补做期内，点击学习报告页的‘重新学习’，完成学习后验证新报告全量覆盖旧报告。,学习报告页,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习报告页|happy,[],False,False,True,True,retained_due_to_coverage_value,27,0,"[""RULE-032"", ""RULE-049""]",[],[],-8,学习报告页|验证补做期内‘重新学习’后报告更新：在当前周或上周补做期内，点击学习报告页的‘重新学习’，完成学习后验证新报告全量覆盖旧报告。|1. 重新学习后生成的新报告应覆盖旧报告，用户只能看到最新的一份报告。2. 新报告的内容应基于最新的学习与测评数据生成。3. 报告页的答题照片区等内容应更新为最新数据。|点击‘重新学习’并完成学习
