candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
11,TC-011,验证初中端底部功能栏保留理化实验入口,初中端-底部功能栏,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,初中端-底部功能栏|happy,[],False,False,False,False,,0,0,"[""RULE-002""]",[],[],-22,初中端-底部功能栏|验证初中端底部功能栏保留理化实验入口|底部功能栏存在理化实验入口|理化实验入口存在性
12,TC-012,验证初中端底部功能栏保留史地生前瞻课入口,初中端-底部功能栏,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,初中端-底部功能栏|happy,[],False,False,False,False,,0,0,"[""RULE-002""]",[],[],-22,初中端-底部功能栏|验证初中端底部功能栏保留史地生前瞻课入口|底部功能栏存在史地生前瞻课入口|史地生前瞻课入口存在性
13,TC-013,验证初中端底部功能栏空出背单词占位,初中端-底部功能栏,P2,True,True,True,retained,retained,初中端-底部功能栏|state,[],False,True,False,True,retained_default,2,1,"[""RULE-002"", ""RULE-004"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,初中端-底部功能栏|验证初中端底部功能栏空出背单词占位|背单词位置显示占位符（不展示内容）|背单词占位状态
14,TC-014,验证小学端Aa英语模块入口数量从4个扩展至5个,小学端-入口布局,P2,True,True,True,retained,retained,小学端-入口布局|happy,[],False,True,False,True,retained_default,11,0,"[""RULE-008"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,小学端-入口布局|验证小学端aa英语模块入口数量从4个扩展至5个|入口数量显示为5个|aa英语模块入口数量
15,TC-015,验证小学端保留自然拼读入口,小学端-入口布局,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,小学端-入口布局|happy,[],False,False,False,False,,12,0,"[""RULE-008""]",[],[],-22,小学端-入口布局|验证小学端保留自然拼读入口|存在自然拼读入口|自然拼读入口存在性
16,TC-016,验证小学端保留背单词入口,小学端-入口布局,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,小学端-入口布局|happy,[],False,False,False,False,,0,0,"[""RULE-008""]",[],[],-22,小学端-入口布局|验证小学端保留背单词入口|存在背单词入口|背单词入口存在性
17,TC-017,验证小学端分版本背单词替换小英语法,小学端-入口布局,P2,True,True,True,retained,retained,小学端-入口布局|happy,[],False,False,False,True,retained_due_to_coverage_value,13,0,"[""RULE-008"", ""RULE-009"", ""RULE-030""]","[""RULE-009"", ""RULE-030""]","[""RULE-030""]",23,小学端-入口布局|验证小学端分版本背单词替换小英语法|小英语法入口不存在，显示分版本背单词入口|小英语法/分版本背单词入口
18,TC-018,验证小学端新增学课文入口,小学端-入口布局,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,小学端-入口布局|happy,[],False,False,False,False,,14,0,"[""RULE-008""]",[],[],-22,小学端-入口布局|验证小学端新增学课文入口|存在学课文入口|学课文入口存在性
19,TC-019,验证小学端移除AI智能测评入口,小学端-入口布局,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,小学端-入口布局|happy,[],False,False,False,False,,0,0,"[""RULE-008""]",[],[],-22,小学端-入口布局|验证小学端移除ai智能测评入口|ai智能测评入口不存在|ai智能测评入口存在性
20,TC-020,验证小学端底部功能栏保留小升初入口,小学端-底部功能栏,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,小学端-底部功能栏|happy,[],False,False,False,False,,16,0,"[""RULE-008""]",[],[],-22,小学端-底部功能栏|验证小学端底部功能栏保留小升初入口|底部功能栏存在小升初入口|小升初入口存在性
21,TC-021,验证小学端底部功能栏保留国学素养入口,小学端-底部功能栏,P2,True,True,True,retained,retained,小学端-底部功能栏|happy,[],False,True,False,False,retained_default,15,0,"[""RULE-008""]",[],[],-22,小学端-底部功能栏|验证小学端底部功能栏保留国学素养入口|底部功能栏存在国学素养入口|国学素养入口存在性
22,TC-022,验证小学端底部功能栏保留小英语法入口,小学端-底部功能栏,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,小学端-底部功能栏|happy,[],False,False,False,False,,0,0,"[""RULE-008""]",[],[],-22,小学端-底部功能栏|验证小学端底部功能栏保留小英语法入口|底部功能栏存在小英语法入口|小英语法入口存在性
23,TC-023,验证小学端底部功能栏保留自然拼读入口,小学端-底部功能栏,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,小学端-底部功能栏|happy,[],False,False,False,False,,0,0,"[""RULE-008""]",[],[],-22,小学端-底部功能栏|验证小学端底部功能栏保留自然拼读入口|底部功能栏存在自然拼读入口|自然拼读入口存在性
24,TC-024,验证小学端底部功能栏空出背单词占位,小学端-底部功能栏,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,小学端-底部功能栏|state,[],False,False,False,True,,0,1,"[""RULE-004"", ""RULE-008"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,小学端-底部功能栏|验证小学端底部功能栏空出背单词占位|背单词位置显示占位符（不展示内容）|背单词占位状态
25,TC-025,验证小学端底部功能栏空出AI智能测评占位,小学端-底部功能栏,P2,True,True,True,retained,retained,小学端-底部功能栏|state,[],False,True,False,True,retained_default,4,1,"[""RULE-004"", ""RULE-008"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,小学端-底部功能栏|验证小学端底部功能栏空出ai智能测评占位|ai智能测评位置显示占位符（不展示内容）|ai智能测评占位状态
26,TC-026,验证学课文入口显示敬请期待或暂隐藏,学课文-内容逻辑,P2,True,True,True,retained,retained,学课文-内容逻辑|state,[],False,True,False,True,retained_default,3,1,"[""RULE-005"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,学课文-内容逻辑|验证学课文入口显示敬请期待或暂隐藏|显示敬请期待或入口为暂隐藏状态|学课文入口点击响应
27,TC-027,验证分版本背单词入口复用本版单词包,背单词-内容逻辑,P2,True,True,True,retained,retained,背单词-内容逻辑|happy,[],False,True,False,False,retained_default,18,0,"[""RULE-005""]",[],[],-22,背单词-内容逻辑|验证分版本背单词入口复用本版单词包|背单词内容为用户已选教材版本的单词包|分版本背单词内容
28,TC-028,验证点击首屏背单词直接进入对应教材版本学习页,通用版触发策略-主动,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,通用版触发策略-主动|happy,[],False,False,False,False,,20,0,"[""RULE-012"", ""RULE-013""]",[],[],-22,通用版触发策略-主动|验证点击首屏背单词直接进入对应教材版本学习页|直接进入对应教材版本的背单词学习页面|背单词入口点击
29,TC-029,验证点击首屏学课文直接进入对应教材版本学习页,通用版触发策略-主动,P2,True,True,True,retained,retained,通用版触发策略-主动|happy,[],False,True,False,False,retained_default,19,0,"[""RULE-012"", ""RULE-013""]",[],[],-22,通用版触发策略-主动|验证点击首屏学课文直接进入对应教材版本学习页|直接进入对应教材版本的学课文学习页面|学课文入口点击
30,TC-030,验证进入通用课时弹出引导提示（背单词占位不展示）,通用版触发策略-被动,P2,True,True,True,retained,retained,通用版触发策略-被动|happy,[],False,False,False,True,retained_due_to_coverage_value,23,0,"[""RULE-006"", ""RULE-012"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,通用版触发策略-被动|验证进入通用课时弹出引导提示（背单词占位不展示）|弹出引导提示，背单词占位不显示内容|通用课引导弹出
31,TC-031,验证从通用课页面返回后引导不重复弹出,通用版触发策略-被动,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,通用版触发策略-被动|happy,[],False,False,False,False,,22,0,"[""RULE-012""]",[],[],-22,通用版触发策略-被动|验证从通用课页面返回后引导不重复弹出|返回后再次进入不重复弹出引导|引导重复弹出
32,TC-032,验证从通用课返回时可再次弹出引导提示,通用版触发策略-被动,P2,True,True,True,retained,retained,通用版触发策略-被动|happy,[],False,True,False,False,retained_default,21,0,"[""RULE-012"", ""RULE-014""]",[],[],-22,通用版触发策略-被动|验证从通用课返回时可再次弹出引导提示|从通用课返回时可再次弹出引导提示|返回时引导弹出
33,TC-033,验证引导弹出去背单词/去学课文选项,通用课引导,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,通用课引导|happy,[],False,False,False,False,,0,0,"[""RULE-007"", ""RULE-013""]",[],[],-22,通用课引导|验证引导弹出去背单词/去学课文选项|引导提示包含'去背单词'和'去学课文'选项|引导内容
34,TC-034,验证引导默认按用户年级/已选教材无需重复选择,通用课引导,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,通用课引导|happy,[],False,False,False,False,,0,0,"[""RULE-007""]",[],[],-22,通用课引导|验证引导默认按用户年级/已选教材无需重复选择|点击引导选项后直接进入对应页面，无需重复选择教材版本|引导跳转逻辑
35,TC-035,验证拼写测试4题全对获得3星,拼写测试-星级逻辑,P2,True,True,True,retained,retained,拼写测试-星级逻辑|happy,[],False,True,False,False,retained_default,17,0,"[""RULE-015""]",[],[],-22,拼写测试-星级逻辑|验证拼写测试4题全对获得3星|获得3星评级|4题全对结果
36,TC-036,验证拼写测试3题对获得2星,拼写测试-星级逻辑,P2,True,True,True,retained,retained,拼写测试-星级逻辑|exception,[],False,True,True,False,retained_default,1,2,"[""RULE-015""]",[],[],-22,拼写测试-星级逻辑|验证拼写测试3题对获得2星|获得2星评级|3题正确结果
